# dotfiles-Offense/install/offensive-packages.txt
# ──────────────────────────────────────────────────────────────────────────────
# The offensive tool layer for Kali (apt). The Core modern-CLI stack lives in
# the normal install/packages.txt; THIS file is the role layer on top of it.
# bootstrap.sh installs these AFTER the OS + Core layers.
#
# Most are in Kali's repos (`sudo apt install <pkg>`). The handful that aren't
# packaged (or move faster than the repo) are flagged → install via their own
# upstream method, same pattern Core already uses for starship/atuin on some
# distros.
#
# ⚠ Authorized engagements only. Installing ≠ permission to use.
# ──────────────────────────────────────────────────────────────────────────────

# ── Network / Active Directory ────────────────────────────────────────────────
netexec              # nxc — successor to CrackMapExec (CME archived 2023)
#                    # mDNS/LLMNR/NBT-NS, and is built to feed ntlmrelayx/krbrelayx. It is a SPOOFER ONLY
#                    # though: no listener, no credential capture, no relay. So it replaces neither mitm6 nor
#                    # responder — it is a third front-end onto the same relay chain, not a swap for either
#                    # half of it. Named here for the CORRECTION, and deliberately given no `→ UPSTREAM`
#                    # pointer of its own: no doc and no corpus entry invokes it, and this file lists what
#                    # the docs and the corpus name. Add the pointer if and when one of them does.
#                    # WHAT THE COERCION YIELDS IS TARGET-VERSION DEPENDENT, which is a separate axis from
#                    # whether it FIRES. On fully-patched Server 2025 / Win11 24H2, SMB signing is required by
#                    # default and LDAP channel binding ships Enabled-When-Supported (MSRC, Dec 2024). The
#                    # trigger still fires; it is the SMB and plain-LDAP relay legs that close behind it. Value
#                    # shifts toward krbrelayx and the AD CS / PKINIT path — both already listed below.
coercer              # NTLM coercion trigger (PetitPotam/PrinterBug/DFSCoerce/ShadowCoerce) — the piece that KICKS the relay/ESC8 chain (responder/ntlmrelayx have no trigger of their own)
krbrelayx            # dirkjanm's Kerberos-relay toolkit (printerbug/krbrelayx/addspn/dnstool) — now apt-packaged, so printerbug is no longer a git-clone. The Kerberos-relay COMPLEMENT to coercer's trigger + ntlmrelayx's NTLM relay, not a dup
impacket-scripts     # ~60 scripts: secretsdump, psexec, ntlmrelayx, GetUserSPNs…
evil-winrm
certipy-ad           # AD CS abuse (ESC1–ESC17: ESC13/15/16 landed in v5.0, ESC17 in v5.1.0)
python3-ldapdomaindump  # apt name is python3-ldapdomaindump (bare 'ldapdomaindump' isn't packaged),
#                    # but the BINARY is bare `ldapdomaindump` — which is also the name bootstrap's
#                    # non-Kali pipx route installs under. Field-reference line: hacktheplanet, AD fold
enum4linux-ng
smbmap
ldap-utils           # `ldapsearch` — raw directory queries. The corpus' ldap-recon entry runs it
#                    # directly, and it is the fallback whenever nxc's ldap module hides the attribute
#                    # you actually need. Surfaced by test/check-corpus-commands.sh (#208)
bloodyad             # raw-LDAP shadow-creds / DACL / RBCD / attribute writes (+ autobloody to auto-exploit a BloodHound-graphed path)
gpp-decrypt          # decrypt the GPP cpassword blob from SYSVOL Groups.xml (the decrypt step of the GPP attack); ships in kali-linux-default, list it for slim installs
freerdp-x11          # xfreerdp — the RDP client for the 3389 connect line. NAME CHURN: FreeRDP 2 was freerdp2-x11/xfreerdp; FreeRDP 3 shipped as freerdp3-x11/xfreerdp3 so both could coexist; Debian then dropped the suffix again (Jan 2026) — freerdp-x11 provides `xfreerdp` and it IS FreeRDP 3. Both binaries come out of the `freerdp3` source pkg (`freerdp` as a source pkg died in 2018), and freerdp3-x11 is NOT transitional — it still ships a real /usr/bin/xfreerdp3 alongside. On an older snapshot install freerdp3-x11 and run xfreerdp3. Ships in kali-linux-default, list it for slim installs
# kerbrute          → UPSTREAM: not in apt — grab the release binary or `go install`
#                     github.com/ropnop/kerbrute (see ~/hacktheplanet).
#                     NOTE: upstream FROZEN (last release v1.0.3, Dec 2019). Keep it for the
#                     stealthy pre-auth spray that aborts before the password stage, but nxc
#                     covers userenum/asreproast. NOT a fast-mover — dropped from redup's
#                     go-loop (re-fetching an unchanging @latest was a no-op).
#                     printerbug moved to apt (as `printerbug`, no .py) — see the `krbrelayx` package above.
# PKINITtools       → UPSTREAM (github.com/dirkjanm/PKINITtools): gettgtpkinit.py + getnthash.py,
#                     the cert→NT-hash step of the coerce→ADCS→PKINIT→DCSync chain in
#                     hacktheplanet's AD CS section. Not in apt — git clone / pipx.

# ── BloodHound CE + collectors ────────────────────────────────────────────────
# BloodHound CE itself is the Postgres-backed web app — stand it up with SpecterOps'
# official `bloodhound-cli` (Go binary, curl the release / `go install`; NOT apt), which
# now owns the compose file under an XDG config dir. The COLLECTORS are what you install
# on the box:
bloodhound-ce-python # CE-compatible collector. NOTE: the 'bloodhound.py' apt pkg
#                    # is the LEGACY (≤4.3.1) collector — its zips don't ingest into CE
#                    # nxc's --bloodhound module also collects (see offensive.zsh `bhce`)
#                    # ⚠ that legacy package installs the binary as `bloodhound-python` (from
#                    # `bloodhound.py`), whose zips do NOT ingest into a CE stack. Deliberately not
#                    # installed here — CE is what this layer stands up. The corpus' bloodhound-collect
#                    # entry used to invoke the legacy name; htpx v2.10.1 (#89) swapped it to
#                    # bloodhound-ce-python, so nothing red-side names the legacy binary any more.
# rusthound-ce      → UPSTREAM (cargo install rusthound-ce): a single static Rust
#                     binary that emits CE-ingestible JSON — the fast ALTERNATE to
#                     bloodhound-ce-python on large domains (no Python chain to drop on
#                     a host). Not in Kali apt; not a redup fast-mover — but NOT because collectors
#                     sit still: it releases in BURSTS (seven of them in the eight weeks to Aug
#                     2026). A concrete version pair used to be quoted here and rotted inside two
#                     months, so the cadence is the durable claim. The real reason is mechanical:
#                     it is a CARGO install with no self-updater, and redup's go_fast_movers loop is
#                     go-only. Complement, not replacement.
# SharpHound (the C# collector) is dropped on the target, not installed here.

# ── Web app / API ─────────────────────────────────────────────────────────────
whatweb              # HTTP fingerprint — the first line of the web-enum fold; ships in kali-linux-default, list it for slim installs
burpsuite
ffuf
feroxbuster
gobuster
nikto
wpscan               # WordPress enum/scan (needs a free API token for vuln data); ships in kali-linux-default
sqlmap
weevely              # PHP webshell generator/manager (the exploitdev post-exploit webshell); ships in kali-linux-default, list it for slim installs
nuclei               # ProjectDiscovery — templated scanner. `-ai` (2026 AI templates) is NOT
#                    # local: it needs a PD API key + outbound internet, and the template it
#                    # generates lands in your PD cloud account. Know that before you reach
#                    # for it mid-engagement.
httpx-toolkit        # ProjectDiscovery httpx — bare 'httpx' apt pkg is the python lib, not this
# katana            → UPSTREAM (Go): not installable from apt today —
#                     CGO_ENABLED=1 go install github.com/projectdiscovery/katana/cmd/katana@latest
#                     NOT in kali-rolling. "not in apt" is what this line used to say and it is
#                     now too flat: Kali's packaging sits in kali-DEV at 1.7.0-0kali1 (initial
#                     packaging committed 2026-08-27) and has not migrated — so apt cannot supply
#                     it on any box today, the same status rustscan carries above. Re-check
#                     pkg.kali.org/pkg/katana and restore the apt line if 1.7.0 migrates.
#                     WATCH WHAT ELSE A MIGRATION WOULD BRING. apt owning the binary is exactly
#                     when Kali patches a self-updater out — it already did so to nuclei's
#                     `-update`, which is why redup's nuclei engine step is conditional. The
#                     kali-dev packaging carries no debian/patches directory yet, so `-update`
#                     survives there for now; redup's katana step PROBES for the flag anyway, so
#                     a migrated-and-patched katana degrades to a skip instead of a tallied
#                     failure on every run. Six releases in nine months and it ships its own
#                     `-update` today, so redup drives the refresh — NOT the go_fast_movers
#                     loop, whose bare `go install` would build it differently from the
#                     documented CGO build.
# (wfuzz dropped — unreferenced by any doc; ffuf/feroxbuster/gobuster cover fuzzing)

# ── Service enumeration (the per-port folds in hacktheplanet) ─────────────────
# All ship in kali-linux-default; listed here so a slim install (and anyone
# following the port folds) has the primary command of each fold in PATH.
onesixtyone          # SNMP community-string sweep (SNMP-161 fold)
snmp                 # provides snmpwalk / snmpbulkwalk (SNMP-161 fold)
snmpcheck            # human-readable SNMP enumeration (SNMP-161 fold). PACKAGE is `snmpcheck`,
#                    # the BINARY it ships is `/usr/bin/snmp-check` — the same package/binary split
#                    # as httpx-toolkit and python3-ldapdomaindump above. The manifest carried the
#                    # binary name, which resolves against nothing: `snmp-check` is in no Kali
#                    # component. hacktheplanet's `snmp-check <ip> -c public` was always correct.
smtp-user-enum       # SMTP VRFY/EXPN/RCPT user enum (SMTP-25 fold)
ssh-audit            # SSH algorithm/config audit (SSH-22 fold)
dnsenum              # DNS enumeration + zone-transfer attempt (DNS-53 fold)
nbtscan              # NetBIOS name sweep (SMB fold)
smbclient            # provides BOTH `smbclient` (SMB-445 fold: share listing/browsing) and `rpcclient` (RPC-135 fold) — one Debian package, the primary command of two folds
ftp                  # the plain FTP client (FTP-21 fold: the anonymous/anonymous check). Debian builds it from the tnftp source; ships in kali-system-core, so it is on every Kali — listed for the accounting, not the install
nfs-common           # provides `showmount` (NFS-111/2049 fold: list the exports before you mount one). Also kali-system-core
cifs-utils           # provides `mount.cifs` — the SMB-445 fold's `mount -t cifs` share mount AND the SYSVOL
#                    # mount in the GPP-cpassword block. smbclient BROWSES a share; mounting one is a separate
#                    # package, and nothing else in this file pulls it
bind9-dnsutils       # provides BOTH `dig` and `nslookup` — the DNS-53 zone-transfer fold and the OSINT NS/MX/TXT lines.
#                    # NAME CHURN: the old name `dnsutils` is a TRANSITIONAL binary off the same bind9 source — VIRTUAL-ONLY
#                    # in trixie (provided by bind9-dnsutils, not installable as itself), a real transitional package only in
#                    # sid, and the sole Kali metapackage still naming it is kali-linux-wsl. Pin the
#                    # durable name: bind9-dnsutils is what kali-linux-headless (and so kali-linux-default) actually pulls
netcat-traditional   # `nc` — the reverse-shell listener that is the PRIMARY command of that whole fold
#                    # (hacktheplanet's `rlwrap nc -lvnp 9001`, exploitdev's handler lines). It was named only
#                    # INSIDE rlwrap's comment below and listed nowhere, which is exactly the accounting gap
#                    # `ftp`/`nfs-common` are listed to close. TRADITIONAL, not netcat-openbsd, deliberately:
#                    # Kali installs traditional and points the `nc` alternative at it, and the documented
#                    # `-lvnp` form is a traditional idiom — OpenBSD's nc rejects `-p` alongside `-l`, so
#                    # installing that variant could flip the alternative and break the line above
nasm                 # `nasm` — exploitdev's hand-rolled shellcode fold (`nasm -f elf32`), and what
#                    # `msf-nasm_shell` shells out to. Already pulled by metasploit-framework, so this is
#                    # accounting rather than a gap — but nothing else in this file named it
binutils             # `objdump` — the opcode-extraction step of that same fold. Base-system (rustc, python3
#                    # and dpkg all pull it), listed for the same reason

# ── Fold-primary tools Kali does NOT ship by default ──────────────────────────
# The block above is the "already on the box, listed for slim installs" case. These
# six are the opposite and that is why they get their own block: NO Kali metapackage
# names them (checked against kali-meta's debian/control), so the hacktheplanet line
# that invokes each one fails on a STOCK box, not just a slim one. That makes them the
# only entries here whose absence is a real gap rather than an accounting nicety.
mariadb-client       # `mysql` — Databases fold (MySQL/MariaDB 3306)
postgresql-client    # `psql` — Databases fold (PostgreSQL 5432)
redis-tools          # `redis-cli` — Databases fold (Redis 6379)
mingw-w64            # `i686-w64-mingw32-gcc` — the Windows cross-compile in the searchsploit-fixups
#                    # fold. The sharpest of the six: build-essential gives you NATIVE gcc only, so
#                    # nothing else on the box covers it
gdb                  # `gdb` — exploitdev's Linux debugging fold. Verified absent from a stock kali-rolling
#                    # box: gcc only SUGGESTS it, and no metapackage names it, so `gdb -q ./vuln` fails on a
#                    # default install. (pwndbg/GEF sit on top of it and stay lab setup, not a package here.)
gcc-multilib         # `gcc -m32` — the 32-bit half of that SAME fold, two lines below the mingw one.
#                    # Identical failure mode and the identical reason: build-essential's gcc is native
#                    # x86-64 and has no 32-bit libs, so the old-PoC rebuild dies on <bits/libc-header-start.h>
# hexyl is deliberately NOT here, and the absence is the whole point: `apt install hexyl`
# does not resolve on Kali today, so listing it would hand test/check-packages.sh a name
# that cannot resolve. The REASON is narrower than this note used to claim ("there is no
# hexyl package in Kali at all"): the source package `rust-hexyl` — which builds a `hexyl`
# binary package — has been imported into and removed from kali-rolling REPEATEDLY (0.4.0,
# 0.5.1, 0.7.0, 0.8.0, most recently 0.16.0-4), following Debian testing each time. It is
# out right now, which is why the conclusion holds; it can come back without warning, so
# re-check before assuming this note is still current. exploitdev's bad-char
# VERIFY step invokes it and install/tools.lst probes it detect-only, both pending
# dotgibson/dotfiles-core#395. Until Core lands it, `cargo install hexyl` by hand — or use
# the `xxd` fallback exploitdev now names.

# ── Recon / OSINT ─────────────────────────────────────────────────────────────
amass
subfinder
dnsx
# bbot              → UPSTREAM (pipx install bbot): recon engine. NOT packaged in Kali at all —
#                     absent from main/contrib/non-free and pkg.kali.org 404s, so this is not
#                     suite drift. The line that was here named `bbot` as an apt package with a
#                     "(pipx/upstream if the repo build lags)" hedge that implied a repo build
#                     exists; none ever has. Same unresolvable-name class the hexyl note above
#                     exists to forbid. install/tools.lst's `bbot` probe and HAVE_BBOT stay
#                     correct either way — pipx puts a bare `bbot` on PATH.
theharvester
masscan
exploitdb            # searchsploit — offline Exploit-DB CLI; `redup` refreshes it. Ships in
#                    # kali-linux-default; list it so a slim box (and redup) has it.
#                    # ⚠ on a DEB install `searchsploit -u` is an APT TRANSACTION, not a git pull:
#                    # the script probes `apt-cache search "^exploitdb$"`, finds it, and runs
#                    # `sudo apt update && sudo apt -y install exploitdb` (escalating on its own),
#                    # falling through to its git branch only where apt AND brew both miss. So the
#                    # refresh can move apt STATE, not just a data dir — which is why redup's
#                    # warning is "never mid-engagement" and not merely "it re-downloads exploits".
#                    # It also exits 6, not 0, after any successful update; see redup's note.
# TeamFiltration    → UPSTREAM: not in apt (dotnet) — github.com/Flangvik/TeamFiltration
#                     (M365/Entra enum + password spray + exfil; the tool behind
#                     hacktheplanet's M365 flow)
# onedrive_enum.py  → UPSTREAM (github.com/nyxgeek/onedrive_user_enum): M365 user validation
#                     via OneDrive (hacktheplanet's M365 enum line). Not in apt — git clone.
# AADInternals      → UPSTREAM (PowerShell Gallery: `Install-Module AADInternals`): the Entra ID
#                     toolkit behind hacktheplanet's `Invoke-AADIntReconAsOutsider` line and the
#                     corpus' device-code-phish entry, which invokes
#                     `Get-AADIntAccessTokenForMSGraph`. Not apt — a pwsh module, and it wants a
#                     Windows/PowerShell host rather than Kali. Operator-side external recon
#                     (unauth, pre-access), which is why it lives here and not in the
#                     target-dropped section.
# ROADtools         → UPSTREAM (PyPI `roadrecon` + `roadtx`) and the ONE upstream tool this
#  (roadrecon,        file names that `--install` REALLY INSTALLS: bootstrap's
#   roadtx)           _install_apt_absent pipx-installs both on every route, Kali included.
#                     dirkjanm's Entra toolkit — roadrecon enumerates the directory into a
#                     local DB + web UI, roadtx does token manipulation and auth flows
#                     (device code among them). It USED to be here rather than in the
#                     corpus-only block below because no red entry invoked it: the corpus
#                     cited ROADtools as device-code-phish's `source:` and then ran only
#                     AADInternals PowerShell. htpx fixed that entry — it now carries
#                     `roadtx gettokens --device-code` as the Linux half of the flow — so the
#                     corpus does invoke it, and corpus-commands.lst classifies it against
#                     this line. The placement is unchanged; only the reason is. Every OTHER
#                     UPSTREAM line in this file is a note telling YOU to go install
#                     something; this one is not, and the asymmetry is deliberate — nothing
#                     on any route apt-installs it, so the bootstrap does. See
#                     dotgibson/dotfiles-Offense#231.

# ── Cloud / SaaS / CI-CD ──────────────────────────────────────────────────────
# This block exists for the COMPANION CORPUS, not for hacktheplanet. ~55 of the corpus'
# red entries are cloud/SaaS/CI-CD, and the flat views deliberately don't mirror them
# (hacktheplanet is per-service/per-port; cloud has no port). But ~/companion is
# symlinked and `htpx` is a first-class alias — pick `aws-iam-backdoor-key`, hit `clip`,
# and you need the CLI in PATH. These are the vendor CLIs those entries actually invoke.
awscli               # `aws` — Kali ships AWS CLI v2, NOT the old v1 (different flags, different auth)
azure-cli            # `az` — Entra/Azure. In Kali apt; no Microsoft repo needed
kubectl              # from the `kubernetes` source pkg (also builds kubernetes-client)
pacu                 # Rhino Security Labs' AWS exploitation framework — the corpus' AWS privesc/persistence entries
peirates             # Kubernetes privesc + pivot (the k8s-* entries)
npm                  # `npm` — the npm-* supply-chain entries (owner-add, 2FA-disable, malicious-publish)
twine                # PyPI upload — the pypi-* supply-chain entries
docker.io            # `docker` — harbor-* image/artifact entries; also how caldera below runs
# google-cloud-cli  → UPSTREAM (Google's own apt repo / the install script): `gcloud` is not in
#                     Debian or Kali. Backs the gcp-* entries.
# gh                → UPSTREAM: WAS apt — gh 2.46.0-3 was REMOVED from kali-rolling 2025-12-10,
#                     so it's the GitHub apt repo or the release binary now. Backs the gh-*
#                     entries (deploy-key backdoor, branch-protection off, self-hosted runner).
# vault             → UPSTREAM (HashiCorp's apt repo): BUSL-licensed, so not in Debian/Kali.
#                     Backs the vault-* entries (approle backdoor, audit-disable, secret exfil).
# Okta and GitLab entries are pure REST — curl + a token, nothing to install. Snowflake's
# three are SQL run in a session (they carry ```sql fences, not ```sh, which is why the corpus
# gate never sees a command in them) and `slack-2fa-disable` is a console toggle with no
# command at all. Still nothing to install for any of those — but they are not curl either,
# which is what this line used to claim of all five services at once.
# ⚠ TERRAFORM CLOUD IS THE ONE THAT IS NOT REST-ONLY, and this line asserted it was.
# `tfc-agent-hijack` creates the agent pool over REST and then RUNS `tfc-agent` — a HashiCorp
# release binary, on infrastructure YOU control, so the workspace's runs execute where you can
# read them. It is accounted for under "Operator-side tooling, not in apt" below, and that
# entry already says it "corrects this file's older claim that the Terraform Cloud entries are
# pure REST": the correction was written at that end and never applied at this one. The other
# two (`tfc-token-backdoor`, `tfc-var-injection`) really are curl-only.
# trufflehog is CONSIDERED AND NOT LISTED, recorded so the decision isn't accidental. It IS in
# kali apt (3.94.3-0kali1) and it is a genuinely good fit for what this block is FOR — "find the
# leaked key" is the missing first step of most of the gh-*/npm-*/pypi-* supply-chain entries.
# It is held out on this file's own membership rule, not on merit: nothing in the docs and no
# corpus entry invokes it, and this block lists the CLIs those entries actually run. The doc or
# corpus edit is the prerequisite; once one names it, `trufflehog` is a plain apt line here.

# ── C2 / adversary emulation ──────────────────────────────────────────────────
metasploit-framework
sliver               # Go C2, the open-source standard — APT-PACKAGED, and long has been:
#                    # kali-rolling has carried it since 1.1.1-0kali2 (Jul 2021). The Mar 2026
#                    # event was the 1.7.1-0kali4 VERSION migration, not the packaging.
#                    # Ships sliver-client + sliver-server — the binary names offensive.zsh
#                    # already probes and aliases, so only this manifest lagged; retires the
#                    # old `curl https://sliver.sh/install | sudo bash`.
#                    # ⚠ CURRENCY: apt runs SEVERAL RELEASES behind and the gap keeps widening.
#                    # Kali froze at 1.7.1-0kali4 in Mar 2026 and has not moved since; upstream had
#                    # already cut 1.7.2 and 1.7.3 when that migration landed, so it shipped a build
#                    # that was stale on arrival, and has kept releasing (past 1.7.6 by Aug 2026)
#                    # with implant and stability fixes each time. Deliberately NOT written as a
#                    # patch COUNT: this note used to say "TWO patches behind" and that number was
#                    # wrong within five months. Check `sliver-server version` against upstream's
#                    # releases page before an op instead. Fine for a C2 you re-profile anyway —
#                    # but it is not "~a patch", and the implant is the half that ages.
adaptixc2            # AdaptixC2 (Adaptix-Framework/AdaptixC2) — Go teamserver + Qt client, and
#                    # the actively-developed slot now that havoc below is frozen. In kali apt.
#                    # ⚠ its DEFAULT server profiles are heavily fingerprinted — publicly
#                    # scanned/tracked and seen in real intrusions. Profile it before you use
#                    # it; that's a reason to configure it, not a reason to skip it.
#                    # ⚠ CURRENCY: apt ships a git SNAPSHOT (1.1~git20260208, migrated Mar 2026).
#                    # Upstream's Releases PAGE is empty, but TAGS are not: v1.0 (2026-01-03), then
#                    # v1.1 and v1.2 (both 2026-03-04). Nor does it roll on `main` — `main` last moved
#                    # 2026-03-04 and work lands on version branches (dev-v1.3 May 2026, testing-v2.0
#                    # Aug 2026; that Aug push is testing-v2.0, not main). So the apt snapshot predates
#                    # the v1.1 tag (Debian ordering sorts 1.1~git20260208 BEFORE 1.1), sits a minor
#                    # behind tagged v1.2, and two behind what is in flight — and there IS a tag to
#                    # judge that by. Profile churn is exactly what an old snapshot misses, which is
#                    # what the warning above depends on.
# havoc             → UPSTREAM build (github.com/HavocFramework/Havoc).
#                     NOTE: upstream ARCHIVED (Feb 2026; last push Dec 2025). Kali still ships
#                     havoc 0.6~git20251218, so it's FROZEN, not gone — same honest status as
#                     kerbrute above. Keep it for existing muscle memory; new work goes to
#                     `adaptixc2`.
caldera              # adversary emulation, ATT&CK-mapped — APT-PACKAGED, and the `→ UPSTREAM/docker`
#                    # pointer that was here was simply wrong: kali-rolling carries `caldera`
#                    # (5.3.0-0kali1) and it installs /usr/bin/caldera, a wrapper around server.py.
#                    # Same error class this file already records fixing for sliver above.
#                    # ⚠ it pulls a ~70 MB Python dependency chain. It IS in kali-linux-large
#                    # (this note previously said "in NO kali-linux-* metapackage" — verified
#                    # wrong via `apt-cache rdepends caldera`), but NOT in kali-linux-default,
#                    # so a default or slim box still needs this line.
#                    # Moved MITRE → APACHE (apache/caldera; donated to the Incubator 2025-12-19,
#                    # with the in-tree rebrand following Jul 2026; mitre/caldera redirects). Still
#                    # no Apache release — the last is v5.3.0 (Apr 2025). Active — that cadence is
#                    # the transition, not EOL.

# Covert-channel egress — the corpus' dns-tunnel-c2 / icmp-tunnel-c2 entries. Test them
# against your OWN infrastructure; a real egress path out of a client network is a finding,
# not a toy. All apt except icmpsh. Only ptunnel-ng is a CURRENT upstream; the other four
# are frozen, dead, or a release behind, so each carries its status below rather than
# letting the block read as if they were all live:
iodine               # IP-over-DNS to a zone you delegate (you run the authoritative NS)
#                    # NOTE: apt is a full RELEASE behind — kali ships 0.7.0-13 while upstream's
#                    # latest tag is v0.8.0. Upstream is alive (commits into 2025), just slow to
#                    # release, and the protocol has not moved — 0.7.0 still interoperates.
dnscat2              # DNS C2 — provides dnscat2-client + dnscat2-server
#                    # NOTE: upstream FROZEN — v0.07 (2016) is still its LAST release, and kali's
#                    # 0.07-0kali2 IS that release. Commits trickled on to 2024 without cutting a
#                    # new one, so apt is not behind here; there is simply nothing newer to have.
#                    # Same honest status as mitm6 above — keep it, the technique is the tool.
ptunnel              # proxy a TCP session inside ICMP echo.
#                    # NOTE: FROZEN — Stødle's original stopped at 0.72 and kali's 0.72-4 is it.
#                    # SUPERSEDED by ptunnel-ng below, which is where new work should go. This
#                    # line stays for one mechanical reason: the corpus still invokes the bare
#                    # `ptunnel` binary (entries/red/icmp-tunnel-c2.md), and
#                    # test/check-corpus-commands.sh — offline and REQUIRED — resolves that name
#                    # against THIS file, so dropping the line reds a blocking gate. Retire it
#                    # once that entry moves, which is an upstream change in dotgibson/htpx:
#                    # entries/ is a vendored subtree and must not be hand-edited here.
ptunnel-ng           # the MAINTAINED fork (utoni/ptunnel-ng, redirected from lnslbrty) — this is
#                    # the one to reach for. kali 1.43-2 IS upstream's latest release (v1.43), so
#                    # apt is CURRENT here, unlike every other line in this block.
#                    # ⚠ NOT a drop-in rename: it is not flag-compatible with ptunnel. The
#                    # original's `-lp/-da/-dp` became `-l/-r/-R` —
#                    #   ptunnel    -p <proxy> -lp <port> -da 127.0.0.1 -dp 22
#                    #   ptunnel-ng -p <proxy> -l  <port> -r  127.0.0.1 -R  22
#                    # — so retargeting the corpus entry is a REWRITE, not a sed. It also ships
#                    # only /usr/bin/ptunnel-ng: no `ptunnel` binary and no alternatives symlink,
#                    # which is the other half of why the line above cannot just be replaced.
# icmpsh            → UPSTREAM (github.com/bdamele/icmpsh): the ICMP reverse shell paired with
#                     ptunnel in the corpus entry. Not packaged in Kali — git clone.
#                     NOTE: DEAD — last push 2018-04-06 and it has never cut a release. Kept
#                     because the victim-side one-liner still runs and nothing has replaced it.

# ── Credential attacks ────────────────────────────────────────────────────────
hashid               # ID the hash mode before you burn GPU — the cracking entrypoint; ships in
#                    # kali-linux-default.
#                    # NOTE: upstream FROZEN (psypanda/hashID — not archived, but no commit since
#                    # Jun 2022) while this line calls it "the cracking entrypoint", so say so.
#                    # Keep it, and keep it as the entrypoint: it matches hash FORMATS, and those
#                    # do not churn — a 2022 table still identifies NTLM, krb5 and bcrypt fine.
#                    # What a frozen table misses is NEW formats; that is when you reach for the
#                    # maintained alternative on the next line. Annotated for the same reason
#                    # kerbrute, mitm6 and havoc are.
# name-that-hash    → IN KALI APT (1.11.0-0kali1), and deliberately NOT installed. The pointer
#                     here used to read "UPSTREAM (pip install name-that-hash)", which was wrong
#                     the same way caldera's UPSTREAM/docker pointer was: it routed an operator to
#                     pip for something apt already ships. The DECISION is unchanged and stands on
#                     its own — it is the alternate identifier hacktheplanet offers beside hashid,
#                     ranking candidate modes with hashcat/john numbers instead of a bare list,
#                     which is nicer output for the same job, so it stays optional rather than a
#                     second installed default. It is also the MAINTAINED half of the pair — commits
#                     to Dec 2025 (bee-san/Name-That-Hash, redirected from HashPals) against
#                     hashID's Jun 2022 freeze — so if you add one extra identifier, make it this
#                     one: `sudo apt install name-that-hash`, no pip involved.
hashcat
john                 # john-the-ripper
hydra
seclists             # /usr/share/seclists — wordlists the helpers expect
cupp                 # OSINT-driven wordlist from a target profile (`cupp -i`) — hacktheplanet's targeted-wordlist block
mimikatz             # IS an apt package on Kali, but what it installs is WINDOWS binaries under
#                    # /usr/share/windows-resources/mimikatz — you drop them on the target, you
#                    # don't run them here. Backs hacktheplanet's DCShadow block (lsadump::dcshadow)
#                    # and the corpus' dcshadow / golden-ticket / silver-ticket / dpapi entries.
# The rest of that block is doc-only — targeted-wordlist generators that beat raw
# rockyou on corporate password policy, but that apt does not carry:
# exrex             → UPSTREAM (pip install exrex): regex → every matching string.
#                     Season+Year lists in hacktheplanet's targeted-wordlist block.
# PACK (statsgen,   → UPSTREAM (github.com/iphelix/pack): mask profiler. statsgen/maskgen
#  maskgen)           profile a real dump's masks so you crack within THIS org's policy.
#                     Python 2 era — run from the clone, no apt package. PACK ships
